,Class,Accuracy,Top 5 Accuracy,F1 score,Precision,Recall,Specificity
934,"hotdog, hot dog, red hot",tensor(0.7428),0.94,0.776699,0.754717,0.8,0.99973977
935,mashed potato,tensor(0.7428),0.88,0.71428573,0.7291667,0.7,0.99973977
936,head cabbage,tensor(0.7428),0.98,0.86868685,0.877551,0.86,0.9998799
937,broccoli,tensor(0.7428),1.0,0.8453609,0.87234044,0.82,0.9998799
938,cauliflower,tensor(0.7428),0.96,0.84615386,0.8148148,0.88,0.9997998
939,"zucchini, courgette",tensor(0.7428),0.96,0.76595753,0.8181818,0.72,0.99983984
940,spaghetti squash,tensor(0.7428),0.96,0.86238533,0.7966102,0.94,0.99975973
941,acorn squash,tensor(0.7428),0.96,0.8514852,0.84313726,0.86,0.99983984
942,butternut squash,tensor(0.7428),0.88,0.7954545,0.92105263,0.7,0.9999399
943,"cucumber, cuke",tensor(0.7428),1.0,0.7238095,0.6909091,0.76,0.99965966
944,"artichoke, globe artichoke",tensor(0.7428),0.98,0.8659794,0.89361703,0.84,0.9998999
945,bell pepper,tensor(0.7428),0.98,0.9,0.9,0.9,0.9998999
946,cardoon,tensor(0.7428),0.94,0.87850463,0.8245614,0.94,0.9997998
947,mushroom,tensor(0.7428),0.98,0.5,0.6666667,0.4,0.9997998
948,Granny Smith,tensor(0.7428),0.92,0.92,0.92,0.92,0.9999199
949,strawberry,tensor(0.7428),0.9,0.74418604,0.8888889,0.64,0.9999199
950,orange,tensor(0.7428),0.9,0.74725276,0.8292683,0.68,0.99985987
951,lemon,tensor(0.7428),0.94,0.79999995,0.84444445,0.76,0.99985987
952,fig,tensor(0.7428),0.94,0.8431373,0.8269231,0.86,0.9998198
953,"pineapple, ananas",tensor(0.7428),0.96,0.9387755,0.9583333,0.92,0.99995995
954,banana,tensor(0.7428),0.94,0.87234044,0.9318182,0.82,0.9999399
955,"jackfruit, jak, jack",tensor(0.7428),1.0,0.92,0.92,0.92,0.9999199
956,custard apple,tensor(0.7428),1.0,0.8888889,0.82758623,0.96,0.9997998
957,pomegranate,tensor(0.7428),0.92,0.8453609,0.87234044,0.82,0.9998799
958,hay,tensor(0.7428),0.92,0.8222223,0.925,0.74,0.9999399
959,carbonara,tensor(0.7428),0.96,0.86315787,0.9111111,0.82,0.9999199
960,"chocolate sauce, chocolate syrup",tensor(0.7428),0.94,0.5473684,0.5777778,0.52,0.9996196
961,dough,tensor(0.7428),0.72,0.4578313,0.57575756,0.38,0.99971974
962,"meat loaf, meatloaf",tensor(0.7428),0.94,0.61538464,0.5925926,0.64,0.9995596
963,"pizza, pizza pie",tensor(0.7428),0.86,0.85106385,0.90909094,0.8,0.9999199
964,potpie,tensor(0.7428),0.92,0.6666667,0.6363636,0.7,0.9995996
965,burrito,tensor(0.7428),0.98,0.8363636,0.76666665,0.92,0.99971974
966,red wine,tensor(0.7428),0.82,0.64220184,0.59322035,0.7,0.9995195
967,espresso,tensor(0.7428),0.86,0.6262626,0.63265306,0.62,0.99963963
968,cup,tensor(0.7428),0.72,0.43678162,0.5135135,0.38,0.99963963
969,eggnog,tensor(0.7428),0.76,0.4423077,0.42592594,0.46,0.9993794
970,alp,tensor(0.7428),0.94,0.5573771,0.4722222,0.68,0.99923927
971,bubble,tensor(0.7428),0.92,0.8172043,0.88372093,0.76,0.9998999
972,"cliff, drop, drop-off",tensor(0.7428),1.0,0.65546215,0.5652174,0.78,0.9993994
973,coral reef,tensor(0.7428),0.96,0.70370376,0.6551724,0.76,0.9995996
974,geyser,tensor(0.7428),1.0,0.8867925,0.83928573,0.94,0.9998198
975,"lakeside, lakeshore",tensor(0.7428),0.98,0.48226947,0.37362638,0.68,0.99885887
976,"promontory, headland, head, foreland",tensor(0.7428),0.96,0.63265306,0.6458333,0.62,0.99965966
977,"sandbar, sand bar",tensor(0.7428),0.94,0.62500006,0.65217394,0.6,0.9996797
978,"seashore, coast, seacoast, sea-coast",tensor(0.7428),0.88,0.4227642,0.3561644,0.52,0.9990591
979,"valley, vale",tensor(0.7428),1.0,0.67256635,0.6031746,0.76,0.9994995
980,volcano,tensor(0.7428),0.9,0.75268817,0.81395346,0.7,0.99983984
981,"ballplayer, baseball player",tensor(0.7428),0.92,0.7474748,0.75510204,0.74,0.99975973
982,"groom, bridegroom",tensor(0.7428),0.74,0.67469877,0.8484849,0.56,0.9998999
983,scuba diver,tensor(0.7428),0.98,0.8235294,0.8076923,0.84,0.9997998
984,rapeseed,tensor(0.7428),0.98,0.98,0.98,0.98,0.99998
985,daisy,tensor(0.7428),0.98,0.9607843,0.9423077,0.98,0.9999399
986,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",tensor(0.7428),1.0,1.0,1.0,1.0,1.0
987,corn,tensor(0.7428),0.96,0.40476188,0.5,0.34,0.99965966
988,acorn,tensor(0.7428),1.0,0.9019608,0.88461536,0.92,0.9998799
989,"hip, rose hip, rosehip",tensor(0.7428),1.0,0.9245283,0.875,0.98,0.99985987
990,"buckeye, horse chestnut, conker",tensor(0.7428),1.0,0.86,0.86,0.86,0.99985987
991,coral fungus,tensor(0.7428),1.0,0.9038461,0.8703704,0.94,0.99985987
992,agaric,tensor(0.7428),0.94,0.7678572,0.6935484,0.86,0.9996196
993,gyromitra,tensor(0.7428),1.0,0.95238096,0.90909094,1.0,0.9998999
994,"stinkhorn, carrion fungus",tensor(0.7428),0.98,0.81481487,0.7586207,0.88,0.99971974
995,earthstar,tensor(0.7428),1.0,0.8990826,0.8305085,0.98,0.9997998
996,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",tensor(0.7428),0.98,0.8000001,0.7076923,0.92,0.9996196
997,bolete,tensor(0.7428),0.94,0.72549015,0.71153843,0.74,0.9996997
998,"ear, spike, capitulum",tensor(0.7428),0.96,0.6306306,0.57377046,0.7,0.9994795
999,"toilet tissue, toilet paper, bathroom tissue",tensor(0.7428),0.78,0.5411765,0.6571429,0.46,0.99975973
